task_id,group,source_official_task_id,dataset,tier,scene,bfs_distance,max_steps,n_anchors_strict,anchors,pass_presence_strict,pass_area1pct_strict,dist_from_start_m,dist_from_official_target_m,golden_steps,verified,stage
tvr_procthor_procthor_03569_easy_t01_s01_v2,v2,procthor_procthor_03569_easy_t01_s01,procthor,procthor-easy,procthor:3569,5,40,7,Book;Chair;CounterTop;DiningTable;GarbageCan;Plate;Sofa,0.04,0.0,1.03,3.95,11,True,1
tvr_procthor_procthor_04435_easy_t00_s00_v2,v2,procthor_procthor_04435_easy_t00_s00,procthor,procthor-easy,procthor:4435,5,40,4,ArmChair;Bed;Dresser;FloorLamp,0.06,0.0,1.03,2.02,11,True,1
tvr_procthor_procthor_03405_easy_t01_s01_retarget,retarget,procthor_procthor_03405_easy_t01_s01,procthor,procthor-easy,procthor:3405,6,40,6,Bed;Desk;GarbageCan;Laptop;Sink;TissueBox,0.0,0.0,1.12,,14,True,1
tvr_procthor_procthor_04435_easy_t05_s01_v2,v2,procthor_procthor_04435_easy_t05_s01,procthor,procthor-easy,procthor:4435,6,40,5,GarbageCan;LaundryHamper;Sink;Toilet;WashingMachine,0.06,0.0,1.12,3.01,16,True,1
tvr_procthor_procthor_05193_easy_t00_s00_retarget,retarget,procthor_procthor_05193_easy_t00_s00,procthor,procthor-easy,procthor:5193,6,40,8,DeskLamp;Drawer;Dresser;Shelf;ShelvingUnit;Statue;Television;Vase,0.0,0.0,1.06,,14,True,1
tvr_procthor_procthor_05393_easy_t08_s00_retarget,retarget,procthor_procthor_05393_easy_t08_s00,procthor,procthor-easy,procthor:5393,6,40,5,Bed;Book;Drawer;Dresser;Vase,0.12,0.0,1.12,,12,True,1
tvr_procthor_procthor_07415_easy_t04_s01_v2,v2,procthor_procthor_07415_easy_t04_s01,procthor,procthor-easy,procthor:7415,6,40,4,Box;DiningTable;Fridge;GarbageBag,0.0,0.0,1.27,4.67,12,True,1
tvr_procthor_procthor_07500_easy_t01_s00_v2,v2,procthor_procthor_07500_easy_t01_s00,procthor,procthor-easy,procthor:7500,6,40,10,Bottle;Box;CounterTop;Cup;Doorframe;Fridge;HousePlant;SprayBottle;TVStand;Television,0.0,0.0,1.06,4.03,12,True,1
tvr_procthor_procthor_09764_easy_t09_s01_v2,v2,procthor_procthor_09764_easy_t09_s01,procthor,procthor-easy,procthor:9764,6,40,6,ArmChair;Bed;Drawer;Dresser;FloorLamp;TeddyBear,0.04,0.0,1.12,3.75,17,True,1
tvr_procthor_procthor_01294_easy_t04_s00_v2,v2,procthor_procthor_01294_easy_t04_s00,procthor,procthor-easy,procthor:1294,7,40,6,Bed;DeskLamp;DogBed;Drawer;Dresser;Pillow,0.02,0.0,1.25,1.9,12,True,1
