env,task_id,scene,perception_scene_split,gpt_completed,gpt_status,gpt_actual_steps,gpt_duration_sec,gpt_prompt_tokens,gpt_completion_tokens,gpt_total_tokens,gpt_api_calls,wm_completed,wm_status,wm_actual_steps,wm_duration_sec,wm_prompt_tokens,wm_completion_tokens,wm_total_tokens,wm_api_calls
ai2thor,ai2thor03025,FloorPlan20,train,false,failed_model,30,858.5,429784,23406,453190,30,false,failed_model,30,905.4,428945,18148,447093,30
ai2thor,ai2thor04047,FloorPlan210,train,false,failed_model,22,541.2,245331,14320,259651,22,true,success,13,435.6,102809,6961,109770,13
ai2thor,ai2thor04062,FloorPlan213,train,true,success,49,1871.3,893927,28535,922462,49,true,success,47,1708.3,867118,32274,899392,47
ai2thor,ai2thor04112,FloorPlan303,val,false,failed_model,34,1234.5,535236,27928,563164,34,false,failed_model,34,1223.0,548111,35868,583979,34
ai2thor,ai2thor05031,FloorPlan315,train,false,failed_model,32,1084.3,473200,18220,491420,32,true,success,15,462.3,130098,9401,139499,15
ai2thor,ai2thor05055,FloorPlan217,train,false,failed_model,7,147.0,39095,3560,42655,7,true,success,18,429.3,179528,10948,190476,18
ai2thor,ai2thor05524,FloorPlan316,train,false,failed_model,8,207.1,47763,4919,52682,8,true,success,9,241.6,57959,5373,63332,9
ai2thor,ai2thor05536,FloorPlan201,train,false,failed_model,24,554.9,284555,11019,295574,24,false,failed_model,24,653.7,289099,14347,303446,24
ai2thor,ai2thor05567,FloorPlan218,val,true,success,11,243.0,77812,6498,84310,11,true,success,15,420.0,131238,13687,144925,15
ai2thor,ai2thor05577,FloorPlan418,train,false,failed_model,18,561.2,175714,12701,188415,18,true,success,7,146.8,39425,2831,42256,7
procthor,procthor004,100,not_applicable,false,failed_model,62,2030.7,1265170,46985,1312155,62,false,failed_model,62,2036.1,1262494,48078,1310572,62
procthor,procthor119,93,not_applicable,false,failed_model,74,1984.5,1566250,47137,1613387,74,false,failed_model,90,2619.3,1989302,76859,2066161,90
procthor,procthor202,154,not_applicable,false,failed_model,44,1202.3,789029,34418,823447,44,false,failed_model,44,1111.1,790507,28510,819017,44
procthor,procthor301,130,not_applicable,false,failed_model,20,443.9,207324,9941,217265,20,false,failed_model,56,1793.3,1087637,36381,1124018,56
procthor,procthor302,130,not_applicable,false,failed_model,56,1565.4,1091263,28945,1120208,56,false,failed_model,56,1660.5,1107791,39360,1147151,56
procthor,procthor303,130,not_applicable,false,failed_model,26,678.6,331579,11208,342787,26,false,failed_model,26,816.5,334138,19121,353259,26
procthor,procthor309,65,not_applicable,false,failed_model,24,503.9,290003,12870,302873,24,false,failed_model,7,151.1,39501,4728,44229,7
