env,task_id,gpt_completed,wm_completed,included_in_paired_comparison,exclusion_reason
ai2thor,ai2thor05031,false,true,true,
ai2thor,ai2thor05524,false,true,true,
ai2thor,ai2thor04112,false,false,true,
ai2thor,ai2thor05055,false,true,true,
ai2thor,ai2thor05567,true,true,true,
ai2thor,ai2thor04062,true,true,true,
ai2thor,ai2thor05577,false,true,true,
ai2thor,ai2thor04047,false,true,true,
ai2thor,ai2thor05536,false,false,true,
ai2thor,ai2thor03025,false,false,true,
procthor,procthor004,false,false,true,
procthor,procthor202,false,false,true,
procthor,procthor502,false,,false,wm_interrupted_api_quota
procthor,procthor309,false,false,true,
procthor,procthor302,false,false,true,
procthor,procthor119,false,false,true,
procthor,procthor301,false,false,true,
procthor,procthor402,false,,false,wm_interrupted_api_quota
procthor,procthor303,false,false,true,
procthor,procthor408,false,,false,wm_interrupted_api_quota
